#Raw,10 Sample Avg,20 Sample Avg,50 Sample Avg
650,532,554,603
519,649,554,602
622,537,552,602
601,633,552,603
526,542,558,603
606,536,563,603
631,543,568,602
623,538,571,600
533,639,571,598
554,640,571,596
534,537,571,593
647,641,572,590
576,542,571,588
532,643,571,586
537,638,571,584
612,542,572,582
536,641,577,580
652,543,582,578
538,643,588,576
638,639,594,575
576,542,598,574
640,648,603,573
541,540,609,572
642,542,615,570
631,534,615,569
650,640,614,567
641,541,615,565
655,535,617,563
643,545,614,564
636,538,613,564
